Paper,Link,Year,Indicator,Distribution,Subject,Measurement,Task origin,Protocol,Reference,Task Modes,Evaluators,Motivation,Discipline,Paradigm
MMLU,https://arxiv.org/abs/2009.03300,2021,Performance,Aggregate Case,System,Observed,Sample,Fixed,Objective,Identification,Researchers,Comparison,AI,Benchmarking
GPQA,https://arxiv.org/pdf/2311.12022,2023,Performance,Aggregate Case,System,Observed,Design,Fixed,Objective,Identification,Researchers,Comparison,AI,Benchmarking
SWE Bench,https://arxiv.org/pdf/2310.06770,2023,Performance,Aggregate Case,System,Observed,Sample,Fixed,Objective,Generation,Researchers,Comparison,AI,Benchmarking
The WMDP Benchmark: Measuring and Reducing Malicious Use With Unlearning,https://arxiv.org/pdf/2403.03218,2024,"Performance, Safety",Aggregate Case,System,Observed,Design,Fixed,Objective,Identification,Researchers,"Assurance, Comparison","AI, Security, Bio, Chem",Benchmarking
Safety Gymnasium,https://arxiv.org/pdf/2310.12567,2023,"Performance, Safety",Aggregate Case,"System, Algorithms",Observed,Design,Procedural,Objective,Generation,Researchers,Comparison,AI,Benchmarking
SafeLife,https://arxiv.org/abs/1912.01217,2019,"Performance, Safety",Aggregate Case,"System, Algorithms",Observed,Design,Procedural,Objective,Generation,Researchers,Comparison,AI,Benchmarking
FACET,https://ai.meta.com/research/publications/facet-fairness-in-computer-vision-evaluation-benchmark/,2023,Fairness,Aggregate Case,System,Observed,Sample,Fixed,Objective,Generation,Researchers,Understanding,AI,Benchmarking
RewardBench,https://arxiv.org/pdf/2403.13787,2024,"Performance, Safety",Aggregate Case,Components,Observed,Design,Fixed,Objective,Identification,Researchers,Understanding,AI,Benchmarking
GAOKAO-Eval,https://arxiv.org/abs/2412.10056,2024,Performance,"Aggregate Case, Functional",System,"Observed, Latent",Sample,Fixed,"Rubric, Objective","Identification, Generation",Researchers,"Comparison, Understanding",AI,Benchmarking
COMPL-AI,https://arxiv.org/abs/2410.07959,2024,"Performance, Safety, Fairness, Robustness and reliability",Aggregate Case,System,Observed,"Sample, Design",Fixed,"Objective, Rubric","Identification, Generation",Researchers,Assurance,AI,Benchmarking
TheAgentCompany,https://arxiv.org/pdf/2412.14161,2024,Performance,Aggregate Case,Components,Observed,Design,"Fixed, Interactive","Objective, Rubric",Generation,Researchers,Comparison,AI,Benchmarking
Can Models Help Us Create Better Models? Evaluating LLMs as Data Scientists,https://arxiv.org/abs/2410.23331,2024,Performance,Aggregate Case,System,Observed,Sample,Fixed,Objective,Generation,Deployers,Comparison,AI,Benchmarking
DA-code,https://arxiv.org/abs/2410.07331,2024,Performance,Aggregate Case,"System, Components",Observed,Design,Fixed,Objective,Generation,Researchers,Comparison,AI,Benchmarking
GSM-Symbolic,https://arxiv.org/abs/2410.05229v1,2024,Robustness and reliability,Aggregate Case,System,Observed,Design,Fixed,Objective,Generation,Researchers,Understanding,AI,Benchmarking
MLE-bench,https://arxiv.org/abs/2410.07095,2024,Performance,Aggregate Case,"System, Components",Observed,Sample,Fixed,Objective,Generation,Researchers,Comparison,AI,Benchmarking
InsightBench,https://arxiv.org/abs/2407.06423,2024,Performance,Aggregate Case,"System, Components",Observed,Design,Fixed,Rubric,"Identification, Generation","Researchers, Deployers",Comparison,AI,Benchmarking
Is GPT-4 a Good Data Analyst?,https://arxiv.org/abs/2305.15038,2023,Performance,Aggregate Case,System,Observed,Sample,Fixed,Rubric,Generation,Researchers,Comparison,AI,Benchmarking
StructEval,https://arxiv.org/abs/2408.03281,2024,Robustness and reliability,"Aggregate Case, Manual inspection",System,Observed,Design,Fixed,Objective,"Identification, Generation",Researchers,Understanding,AI,Benchmarking
RUPBench,https://arxiv.org/abs/2406.11020,2024,Robustness and reliability,Aggregate Case,System,Observed,Design,Fixed,Objective,"Identification, Generation","Researchers, Deployers","Understanding, Comparison",AI,Benchmarking
ChatbotArena,https://arxiv.org/abs/2403.04132,2024,Performance,Aggregate Case,System,Observed,Operation,Interactive,Subjective,Generation,Researchers,Comparison,AI,Benchmarking
RouterBench,https://arxiv.org/abs/2403.12031,2024,"Performance, Cost",Aggregate Case,Components,Observed,"Sample, Design",Fixed,"Objective, Rubric","Identification, Generation",Deployers,Comparison,AI,Benchmarking
DyVal 2,https://arxiv.org/abs/2402.14865,2024,Robustness and reliability,Aggregate Case,System,Observed,Design,Fixed,Objective,"Identification, Generation",Researchers,Understanding,AI,Benchmarking
MT-Bench-101,https://arxiv.org/abs/2402.14762,2024,Performance,Aggregate Case,System,Observed,Design,Fixed,Rubric,Generation,Researchers,Comparison,AI,Benchmarking
On the measure of intelligence (ARC),https://arxiv.org/abs/1911.01547,2019,Performance,Aggregate Case,System,Observed,Design,Fixed,Objective,Generation,Researchers,Comparison,AI,Benchmarking
MAgIC: Benchmarking Large Language Model Powered Multi-Agent,https://arxiv.org/abs/2311.08562,2023,Performance,Aggregate Case,"System, Components",Observed,Design,Interactive,Objective,Generation,Researchers,Comparison,AI,Benchmarking
TencentLLMEval,https://arxiv.org/abs/2311.05374,2024,"Performance, Fairness, Safety",Aggregate Case,System,Observed,Design,Fixed,"Subjective, Rubric","Identification, Generation",Deployers,Comparison,AI,Benchmarking
SmartPlay: A Benchmark for LLMs as Intelligent Agents,https://arxiv.org/abs/2310.01557v5,2023,Performance,Aggregate Case,System,"Latent, Observed",Design,Fixed,Objective,Generation,Researchers,Comparison,AI,Benchmarking
AGIBench,https://arxiv.org/pdf/2309.06495,2023,"Performance, Safety, Fairness, Robustness and reliability","Aggregate Case, Functional, Extreme Case",System,Observed,Design,Fixed,Objective,Identification,Researchers,Understanding,AI,Benchmarking
BBQ Benchmark,https://arxiv.org/pdf/2110.08193,2024,Fairness,Aggregate Case,System,Observed,Design,Fixed,Objective,Identification,Researchers,"Comparison, Understanding",AI,Benchmarking
NaturalBench,https://arxiv.org/pdf/2410.14669,2024,Performance,Aggregate Case,System,Observed,"Design, Sample",Fixed,Objective,Identification,Researchers,Comparison,AI,Benchmarking
SynthEval,https://arxiv.org/pdf/2408.17437,2024,"Performance, Robustness and reliability",Aggregate Case,System,Observed,Design,Fixed,Objective,Identification,Researchers,Understanding,AI,Benchmarking
Aviary: training language agents on challenging scientific tasks,https://arxiv.org/abs/2412.21154,2024,"Performance, Cost",Aggregate Case,"System, Algorithms",Observed,"Design, Sample",Fixed,Objective,Generation,Deployers,Comparison,"AI, Bio",Benchmarking
GSM8K,https://arxiv.org/pdf/2110.14168,2021,Performance,Aggregate Case,System,Observed,Sample,Fixed,Objective,Generation,"Researchers, Deployers",Comparison,"AI, Math",Benchmarking
MATH,https://arxiv.org/pdf/2103.03874,2021,Performance,Aggregate Case,System,Observed,Sample,Fixed,Objective,Generation,Researchers,"Comparison, Understanding","AI, Math",Benchmarking
FrontierMath,https://arxiv.org/pdf/2411.04872,2024,Performance,Aggregate Case,System,Observed,"Sample, Design",Fixed,Objective,Generation,Researchers,Comparison,"Math, AI",Benchmarking
Perception Test: A Diagnostic Benchmark for MultiModal Video Models,https://arxiv.org/pdf/2305.13786,2023,Performance,Aggregate Case,System,Observed,Design,Fixed,Objective,"Identification, Generation","Deployers, Researchers",Comparison,AI,Benchmarking
TCE: A Test-Based Approach to Measuring Calibration Error,https://arxiv.org/pdf/2306.14343,2023,Robustness and reliability,Aggregate Case,System,Observed,Design,Fixed,Objective,Identification,Researchers,Comparison,AI,Benchmarking
WeatherBench 2,https://arxiv.org/abs/2308.15560,2023,Performance,Aggregate Case,System,Observed,Sample,Fixed,Objective,Generation,"Researchers, Deployers","Comparison, Understanding","AI, Climate Science",Benchmarking
AutoCast,https://arxiv.org/abs/2206.15474,2022,Performance,Aggregate Case,System,Observed,Sample,Fixed,Objective,"Identification, Generation",Researchers,"Comparison, Understanding",AI,Benchmarking
Benchmarking Cognitive Biases in Large Language Models as Evaluators,https://arxiv.org/pdf/2309.17012,2023,Robustness and reliability,Aggregate Case,System,Observed,"Design, Sample",Fixed,Objective,Identification,"Researchers, Deployers",Understanding,AI,Benchmarking
